"","keyword","tf","df"
"1","Thomas",1243,553
"2","James",1170,540
"3","Smith",1289,505
"4","Paul",969,470
"5","Brown",1109,468
"6","West",495,303
"7","Martin",450,295
"8","Washington",503,295
"9","Still",405,278
"10","King",758,269
"11","Jones",488,256
"12","Street",448,253
"13","Johnson",483,236
"14","Andrew",296,225
"15","Lee",378,218
"16","Louis",296,212
"17","Allen",363,199
"18","Robinson",496,180
"19","Taylor",463,179
"20","List",319,173
"21","Miller",312,173
"22","Anderson",346,172
"23","Church",313,170
"24","White",330,164
"25","Alexander",277,162
"26","Nancy",262,161
"27","Scott",239,159
"28","Williams",280,158
"29","Man",295,153
"30","Good",234,152
"31","Samuel",245,148
"32","Wilson",257,143
"33","Lewis",327,142
"34","Wallace",298,141
"35","Law",312,140
"36","Bell",252,133
"37","Green",232,131
"38","Joyce",388,130
"39","Frank",191,129
"40","Thompson",246,124
"41","Main",176,122
"42","Black",235,121
"43","Day",277,121
"44","Douglas",158,121
"45","Harris",238,119
"46","Grant",179,117
"47","Austin",340,113
"48","Price",244,111
"49","Cohen",228,110
"50","Davis",209,107
"51","Cornell",171,106
"52","Craig",223,104
"53","Dean",140,104
"54","Jackson",216,102
"55","Bailey",168,98
"56","Clark",170,97
"57","Benjamin",197,96
"58","Collins",249,95
"59","Howard",163,94
"60","Mitchell",137,92
"61","Patrick",113,91
"62","Dixon",124,88
"63","Folio",225,88
"64","Field",162,87
"65","Evans",138,83
"66","Moore",124,83
"67","Sun",173,82
"68","Wright",167,81
"69","Muller",150,80
"70","Ray",108,80
"71","Eliot",138,77
"72","Russell",109,76
"73","Wells",195,75
"74","Best",109,74
"75","Shaw",173,74
"76","Albert",100,73
"77","Chomsky",143,72
"78","Kim",126,72
"79","Burton",115,71
"80","Butler",112,71
"81","Packard",130,71
"82","Schmidt",125,71
"83","Wall",143,70
"84","Davies",118,69
"85","Johansson",136,69
"86","Power",145,68
"87","Carroll",174,67
"88","Wang",151,66
"89","Morris",148,65
"90","Klein",94,64
"91","McKenzie",126,64
"92","Campbell",127,63
"93","Fisher",138,63
"94","Woods",223,63
"95","Bolter",314,61
"96","Gilbert",93,61
"97","Marlowe",598,61
"98","Turner",116,61
"99","Juan",136,60
"100","Kelly",104,60
