...1,ns,title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev
2,14,Category:Theories of language,22337303,120,0,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",2017-11-16T16:13:15Z,theory of language,Theories of language,0.4545454545454546,4
3,14,Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language,Philosophy of language,0.56,7
0,14,Category:Essays in literary theory,17611284,126,4,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",2018-07-09T08:13:06Z,theory of ' literary,Essays in literary theory,0.5862068965517242,17
7,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of ' literary,Literary theory,0.5238095238095238,15
8,14,Category:Terms in literary theory,17707884,62,0,NA,2016-09-25T18:57:42Z,theory of ' literary,Terms in literary theory,0.5714285714285714,16
0,14,Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21
4,14,Category:Communication theory,1527661,260,29,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-04-25T16:42:54Z,theory of communication,Communication theory,0.43999999999999995,18
0,14,Category:Theories of language,22337303,120,0,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",2017-11-16T16:13:15Z,theories of language,Theories of language,0.10526315789473684,1
8,14,Category:Social theories,23079219,211,29,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> aesthetics Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> deduction Metaphysical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Social</span> <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2020-08-07T19:14:31Z,theories of social,Social theories,0.55,13
1,14,Category:Baconian theory of Shakespeare authorship,38942921,171,0,"Wikimedia Commons has media related to Baconian <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> Shakespeare <span class=""searchmatch"">authorship</span>.",2018-04-01T17:07:26Z,theory of authorship,Baconian theory of Shakespeare authorship,0.575,21
2,14,Category:Marlovian theory of Shakespeare authorship,38942901,129,0,NA,2013-08-02T04:54:48Z,theory of authorship,Marlovian theory of Shakespeare authorship,0.5853658536585367,22
3,14,Category:Derbyite theory of Shakespeare authorship,38942920,58,0,NA,2013-03-28T04:08:40Z,theory of authorship,Derbyite theory of Shakespeare authorship,0.575,21
4,14,Category:Oxfordian theory of Shakespeare authorship,38942906,58,0,NA,2013-03-28T04:06:24Z,theory of authorship,Oxfordian theory of Shakespeare authorship,0.5853658536585367,22
9,14,Category:Game theory games,51883175,43,0,"This category is located at Category:Non-cooperative <span class=""searchmatch"">games</span>. Note: This category should be empty. See the instructions for more information. Administrators:",2020-09-02T00:15:42Z,theory of games,Game theory games,0.5,8
0,14,Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theories of communication,Communication theorists,0.5333333333333333,22
4,14,Category:Communication theory,1527661,260,29,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-04-25T16:42:54Z,theories of communication,Communication theory,0.5357142857142857,20
0,14,Category:Theory of computation,3233312,465,46,"science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span> is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span>, using an algorithm",2020-01-28T20:25:57Z,theory of computation,Theory of computation,0.09999999999999998,1
2,14,Category:Models of computation,31036668,435,48,"The category <span class=""searchmatch"">of</span> <span class=""searchmatch"">Computational</span> Models lists abstract models for investigating computing machines. Standard <span class=""searchmatch"">computational</span> models assume discrete time paradigm",2020-07-27T20:12:23Z,theory of computation,Models of computation,0.48,6
6,14,Category:Computational complexity theory,693727,163,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Computational</span> complexity <span class=""searchmatch"">theory</span>.",2020-07-27T20:12:23Z,theory of computation,Computational complexity theory,0.5757575757575757,22
7,14,Category:Theorems in theory of computation,46305686,123,0,NA,2015-04-03T13:52:03Z,theory of computation,Theorems in theory of computation,0.3448275862068966,12
