item,itemLabel
http://www.wikidata.org/entity/Q4532287,Mikhail Epstein
http://www.wikidata.org/entity/Q55760938,Rebecca Roache
http://www.wikidata.org/entity/Q71488,Friedemann Schulz von Thun
http://www.wikidata.org/entity/Q76357,Jürgen Habermas
http://www.wikidata.org/entity/Q90586,Karl Küpfmüller
http://www.wikidata.org/entity/Q90748,Ralf van Bühren
http://www.wikidata.org/entity/Q92312,Harald Wohlrapp
http://www.wikidata.org/entity/Q92760,Claude Shannon
http://www.wikidata.org/entity/Q92826,Terry Winograd
http://www.wikidata.org/entity/Q93781,Paul Watzlawick
http://www.wikidata.org/entity/Q156201,Roman Jakobson
http://www.wikidata.org/entity/Q180819,Lev Vygotsky
http://www.wikidata.org/entity/Q193871,Marshall McLuhan
http://www.wikidata.org/entity/Q295012,John Searle
http://www.wikidata.org/entity/Q311776,Paul Grice
http://www.wikidata.org/entity/Q314252,Gregory Bateson
http://www.wikidata.org/entity/Q314462,Harold Lasswell
http://www.wikidata.org/entity/Q321585,Donald deAvila Jackson
http://www.wikidata.org/entity/Q323107,Patrick Suppes
http://www.wikidata.org/entity/Q426218,Anthony Wilden
http://www.wikidata.org/entity/Q433619,Joan Chittister
http://www.wikidata.org/entity/Q504346,Fernando Flores
http://www.wikidata.org/entity/Q505528,Harold Innis
http://www.wikidata.org/entity/Q510591,Warren Weaver
http://www.wikidata.org/entity/Q511624,Rob Grootendorst
http://www.wikidata.org/entity/Q634125,George Gerbner
http://www.wikidata.org/entity/Q722347,Walter J. Ong
http://www.wikidata.org/entity/Q1161998,Daniel J. O'Keefe
http://www.wikidata.org/entity/Q1445486,Frans H. van Eemeren
http://www.wikidata.org/entity/Q1512329,Molefi Kete Asante
http://www.wikidata.org/entity/Q1662255,Inez De Florio-Hansen
http://www.wikidata.org/entity/Q2227424,Alfons Vansteenwegen
http://www.wikidata.org/entity/Q2530910,Denis McQuail
http://www.wikidata.org/entity/Q3061477,Everett Rogers
http://www.wikidata.org/entity/Q3430760,Richard Fisch
http://www.wikidata.org/entity/Q3893206,Herbert Schiller
http://www.wikidata.org/entity/Q3896211,Osmo Antero Wiio
http://www.wikidata.org/entity/Q4056821,Dmitry Ageyev
http://www.wikidata.org/entity/Q4751469,Anantha Babbili
http://www.wikidata.org/entity/Q5006855,C. Scott Jacobs
http://www.wikidata.org/entity/Q5075559,Charles Berger
http://www.wikidata.org/entity/Q5144983,Colin Cherry
http://www.wikidata.org/entity/Q5203712,D. Lawrence Kincaid
http://www.wikidata.org/entity/Q5203816,D. Shelton A. Gunaratne
http://www.wikidata.org/entity/Q5392806,Ernest Bormann
http://www.wikidata.org/entity/Q5493221,François Cooren
http://www.wikidata.org/entity/Q5512116,G. A. Swanson
http://www.wikidata.org/entity/Q5512502,G. Thomas Goodnight
http://www.wikidata.org/entity/Q5538864,George Edward Cheney
http://www.wikidata.org/entity/Q5644620,Hamid Mowlana
http://www.wikidata.org/entity/Q6094597,Ithiel de Sola Pool
http://www.wikidata.org/entity/Q6141741,James R. Taylor
http://www.wikidata.org/entity/Q6144743,James W. Carey
http://www.wikidata.org/entity/Q6144923,"James W. Tankard, Jr."
http://www.wikidata.org/entity/Q6397268,Kevin Porée
http://www.wikidata.org/entity/Q6419923,Klaus Krippendorff
http://www.wikidata.org/entity/Q6768451,Mark L. Knapp
http://www.wikidata.org/entity/Q7129259,Pamela J. Shoemaker
http://www.wikidata.org/entity/Q7296621,Ravi Gomatam
http://www.wikidata.org/entity/Q7350217,Robert T. Craig
http://www.wikidata.org/entity/Q7350243,Robert T. Oliver
http://www.wikidata.org/entity/Q7681141,Tamer Başar
http://www.wikidata.org/entity/Q7781501,Theo van Leeuwen
http://www.wikidata.org/entity/Q7964834,Walter Fisher
http://www.wikidata.org/entity/Q8000236,Wilbur Schramm
http://www.wikidata.org/entity/Q8060544,Lee Yuk-Wing
http://www.wikidata.org/entity/Q11556282,Yukio Tsuda
http://www.wikidata.org/entity/Q12369646,Marcel Danesi
http://www.wikidata.org/entity/Q15402044,Michael H. Prosser
http://www.wikidata.org/entity/Q15498046,James Chesebro
http://www.wikidata.org/entity/Q16105257,Muneo Yoshikawa
http://www.wikidata.org/entity/Q16181368,Stein Braten
http://www.wikidata.org/entity/Q16730114,Sally Jackson
http://www.wikidata.org/entity/Q16745343,Ronald L. Jackson II
http://www.wikidata.org/entity/Q17306246,Ramón Massó Tarruella
http://www.wikidata.org/entity/Q17447358,Jaan Valsiner
http://www.wikidata.org/entity/Q23023239,Robert M. Shuter
http://www.wikidata.org/entity/Q23542561,Adriano Duarte Rodrigues
http://www.wikidata.org/entity/Q28477851,Hazel Gaudet-Erskine
http://www.wikidata.org/entity/Q50822200,Magoroh Maruyama
http://www.wikidata.org/entity/Q55966239,Bradley S. Greenberg
http://www.wikidata.org/entity/Q55966577,David Berlo
http://www.wikidata.org/entity/Q60735950,Timothy R. Levine
http://www.wikidata.org/entity/Q58851,Karl Bühler
http://www.wikidata.org/entity/Q58853,Karl-Otto Apel
http://www.wikidata.org/entity/Q116789,Boris Parygin
http://www.wikidata.org/entity/Q569063,Roberto Mangabeira Unger
http://www.wikidata.org/entity/Q276090,Elizebeth Smith Friedman
http://www.wikidata.org/entity/Q457286,Delia Bacon
http://www.wikidata.org/entity/Q918937,Ignatius L. Donnelly
http://www.wikidata.org/entity/Q969082,William F. Friedman
http://www.wikidata.org/entity/Q2543934,Walter Conrad Arensberg
http://www.wikidata.org/entity/Q5346368,Edwin Durning-Lawrence
http://www.wikidata.org/entity/Q5363714,Elizabeth Wells Gallup
http://www.wikidata.org/entity/Q5539165,George Fabyan
http://www.wikidata.org/entity/Q5728228,Henry Seymour
http://www.wikidata.org/entity/Q5750019,Hezekiah Lord Hosmer
http://www.wikidata.org/entity/Q6145675,James Wilmot
http://www.wikidata.org/entity/Q6229164,John Denham Parsons
http://www.wikidata.org/entity/Q7105264,Orville Ward Owen
http://www.wikidata.org/entity/Q14954633,"James Wilde, 1st Baron Penzance"
http://www.wikidata.org/entity/Q37388,Francis Bacon
http://www.wikidata.org/entity/Q1027678,Calvin Hoffman
http://www.wikidata.org/entity/Q1235822,Dolly Walker-Wraight
http://www.wikidata.org/entity/Q1607389,Henry Watterson
http://www.wikidata.org/entity/Q1663270,Ingram Frizer
http://www.wikidata.org/entity/Q2158508,Robert Poley
http://www.wikidata.org/entity/Q3308492,Michael Rubbo
http://www.wikidata.org/entity/Q8000190,Wilbur G. Zeigler
http://www.wikidata.org/entity/Q28946323,Ros Barber
http://www.wikidata.org/entity/Q28975,Christopher Marlowe
http://www.wikidata.org/entity/Q318468,Abel Lefranc
http://www.wikidata.org/entity/Q2032636,"William Stanley, 6th Earl of Derby"
http://www.wikidata.org/entity/Q374210,"Edward de Vere, 17th Earl of Oxford"
http://www.wikidata.org/entity/Q1411615,Richard Kennedy
http://www.wikidata.org/entity/Q1871900,Louis P. Bénézet
http://www.wikidata.org/entity/Q3103888,Gerald Henry Rendall
http://www.wikidata.org/entity/Q3805138,J. Thomas Looney
http://www.wikidata.org/entity/Q4720341,Alexander Waugh
http://www.wikidata.org/entity/Q4893447,Bernard Mordaunt Ward
http://www.wikidata.org/entity/Q5075500,"Charles Beauclerk, Earl of Burford"
http://www.wikidata.org/entity/Q5082505,Charles Sidney Beauclerk
http://www.wikidata.org/entity/Q5083669,Charles Wisner Barrell
http://www.wikidata.org/entity/Q5086298,Charlton Greenwood Ogburn
http://www.wikidata.org/entity/Q5086326,Charlton Ogburn
http://www.wikidata.org/entity/Q6287091,Joseph Sobran
http://www.wikidata.org/entity/Q6766543,Mark Anderson
http://www.wikidata.org/entity/Q7167223,Percy Allen
http://www.wikidata.org/entity/Q7358963,Roger Stritmatter
http://www.wikidata.org/entity/Q8008926,William Farina
http://www.wikidata.org/entity/Q15998953,Montagu William Douglas
http://www.wikidata.org/entity/Q20657184,Tom Ligon
http://www.wikidata.org/entity/Q21062845,Ludwig Staiger
http://www.wikidata.org/entity/Q22958613,Andreas Brandstädt
http://www.wikidata.org/entity/Q316022,Harry Nyquist
http://www.wikidata.org/entity/Q1442951,Frank Benford
http://www.wikidata.org/entity/Q156585,Marc Bloch
http://www.wikidata.org/entity/Q162597,Henri Lefebvre
http://www.wikidata.org/entity/Q170078,Ernest Gellner
http://www.wikidata.org/entity/Q178709,Giambattista Vico
http://www.wikidata.org/entity/Q185105,Fernand Braudel
http://www.wikidata.org/entity/Q185381,Arnold J. Toynbee
http://www.wikidata.org/entity/Q319816,Pitirim Sorokin
http://www.wikidata.org/entity/Q325840,Gerhard Lenski
http://www.wikidata.org/entity/Q494287,Immanuel Wallerstein
http://www.wikidata.org/entity/Q712123,Paul Kennedy
http://www.wikidata.org/entity/Q720443,Carroll Quigley
http://www.wikidata.org/entity/Q4237406,Nikolay Kradin
http://www.wikidata.org/entity/Q16105138,David Kolb
http://www.wikidata.org/entity/Q9235,Georg Wilhelm Friedrich Hegel
http://www.wikidata.org/entity/Q9294,Ibn Khaldun
http://www.wikidata.org/entity/Q12718,Auguste Comte
http://www.wikidata.org/entity/Q34787,Friedrich Engels
http://www.wikidata.org/entity/Q57112,Oswald Spengler
http://www.wikidata.org/entity/Q61082,Karl August Wittfogel
http://www.wikidata.org/entity/Q3575689,Zoghman Mebkhout
http://www.wikidata.org/entity/Q115769,Marcel Grossmann
http://www.wikidata.org/entity/Q340238,Achilles Papapetrou
http://www.wikidata.org/entity/Q445635,Fang Lizhi
http://www.wikidata.org/entity/Q726175,Gunnar Nordström
http://www.wikidata.org/entity/Q959840,Roy Kerr
http://www.wikidata.org/entity/Q1068631,Cornelius Lanczos
http://www.wikidata.org/entity/Q1361708,W. G. Unruh
http://www.wikidata.org/entity/Q2514703,Vladimir Varićak
http://www.wikidata.org/entity/Q2764478,Prahalad Chunnilal Vaidya
http://www.wikidata.org/entity/Q3339390,Guang-Jiong Ni
http://www.wikidata.org/entity/Q4164781,Ali Moustafa Mosharafa
http://www.wikidata.org/entity/Q4719500,Alexander Macfarlane
http://www.wikidata.org/entity/Q5006922,C. V. Vishveshwara
http://www.wikidata.org/entity/Q5379742,Enrique Loedel Palumbo
http://www.wikidata.org/entity/Q7979724,Wei-Tou Ni
http://www.wikidata.org/entity/Q16104618,Edmond Bonan
http://www.wikidata.org/entity/Q21002310,Raymond McLenaghan
http://www.wikidata.org/entity/Q21948515,Emilio Santos Corchero
http://www.wikidata.org/entity/Q12998,Georges Lemaître el vergón
http://www.wikidata.org/entity/Q41688,Hendrik Lorentz
http://www.wikidata.org/entity/Q63059498,Roberta Rabellotti
http://www.wikidata.org/entity/Q4768884,Anne Whateley
http://www.wikidata.org/entity/Q124194,Edward Kofler
http://www.wikidata.org/entity/Q560858,Vladimir Levenshtein
http://www.wikidata.org/entity/Q737968,Raj Chandra Bose
http://www.wikidata.org/entity/Q873734,Imre Csiszár
http://www.wikidata.org/entity/Q3056621,Jorma Rissanen
http://www.wikidata.org/entity/Q4647201,A.J. Han Vinck
http://www.wikidata.org/entity/Q4663743,Abbas El Gamal
http://www.wikidata.org/entity/Q4746324,Amin Shokrollahi
http://www.wikidata.org/entity/Q5108403,Chris Wallace
http://www.wikidata.org/entity/Q6554584,Linnar Viik
http://www.wikidata.org/entity/Q6836805,Michele Mosca
http://www.wikidata.org/entity/Q7260630,Punya Thitimajshima
http://www.wikidata.org/entity/Q7454442,Sergio Verdú
http://www.wikidata.org/entity/Q15822188,János Körner
http://www.wikidata.org/entity/Q16728971,Hendrik C. Ferreira
http://www.wikidata.org/entity/Q17141861,Ingar Roggen
http://www.wikidata.org/entity/Q21822539,Wojciech Szpankowski
http://www.wikidata.org/entity/Q29265247,Ozgur B. Akan
http://www.wikidata.org/entity/Q59751138,Ioannis Kontoyiannis
http://www.wikidata.org/entity/Q106554532,Peter Gacs
http://www.wikidata.org/entity/Q69412,Rolf Landauer
http://www.wikidata.org/entity/Q92619,Richard Hamming
http://www.wikidata.org/entity/Q92784,David A. Huffman
http://www.wikidata.org/entity/Q92868,Irving S. Reed
http://www.wikidata.org/entity/Q92915,Terry Welch
http://www.wikidata.org/entity/Q92950,Marcel J. E. Golay
http://www.wikidata.org/entity/Q92966,Leonid Levin
http://www.wikidata.org/entity/Q92977,Norman Abramson
http://www.wikidata.org/entity/Q92982,Gustave Solomon
http://www.wikidata.org/entity/Q93052,Robert Fano
http://www.wikidata.org/entity/Q251262,James Massey
http://www.wikidata.org/entity/Q332701,Peter Elias
http://www.wikidata.org/entity/Q461687,Robert G. Gallager
http://www.wikidata.org/entity/Q529886,Ralph Hartley
http://www.wikidata.org/entity/Q560818,David Slepian
http://www.wikidata.org/entity/Q840535,Robert J. McEliece
http://www.wikidata.org/entity/Q930837,Gregory Chaitin
http://www.wikidata.org/entity/Q1314603,Elwyn Ralph Berlekamp
http://www.wikidata.org/entity/Q1398547,Solomon W. Golomb
http://www.wikidata.org/entity/Q1530048,Edgar Gilbert
http://www.wikidata.org/entity/Q1616033,Peter Lyman
http://www.wikidata.org/entity/Q3123640,Ray Solomonoff
http://www.wikidata.org/entity/Q4661950,Aaron D. Wyner
http://www.wikidata.org/entity/Q4972902,Brockway McMillan
http://www.wikidata.org/entity/Q5228778,Dave Forney
http://www.wikidata.org/entity/Q5300398,Doug Cutting
http://www.wikidata.org/entity/Q5724615,Henry Landau
http://www.wikidata.org/entity/Q5981488,Ian F. Akyildiz
http://www.wikidata.org/entity/Q6195974,Jim K. Omura
http://www.wikidata.org/entity/Q6264925,John Wozencraft
http://www.wikidata.org/entity/Q6390191,Kenneth Harwood
http://www.wikidata.org/entity/Q6951597,N. Ahmed
http://www.wikidata.org/entity/Q7174060,Peter Franaszek
http://www.wikidata.org/entity/Q7340277,Rob Kling
http://www.wikidata.org/entity/Q7347125,Robert M. Gray
http://www.wikidata.org/entity/Q7811770,Toby Berger
http://www.wikidata.org/entity/Q8014766,William Lucas Root
http://www.wikidata.org/entity/Q11103884,Henry O. Pollak
http://www.wikidata.org/entity/Q13989101,Lloyd R. Welch
http://www.wikidata.org/entity/Q14492281,Jack Wolf
http://www.wikidata.org/entity/Q14492353,Michael Luby
http://www.wikidata.org/entity/Q18619548,Alexander Tuzhilin
http://www.wikidata.org/entity/Q20938713,Ed Posner
http://www.wikidata.org/entity/Q28839530,Yuichi Motai
http://www.wikidata.org/entity/Q29354588,Syed Jafar
http://www.wikidata.org/entity/Q29791448,Gary Marchionini
http://www.wikidata.org/entity/Q44192457,Nicole Ellison
http://www.wikidata.org/entity/Q58008994,Muriel Médard
http://www.wikidata.org/entity/Q61698453,Alon Orlitsky
http://www.wikidata.org/entity/Q73161867,Salman A. Avestimehr
http://www.wikidata.org/entity/Q99961458,Joy A. Thomas
http://www.wikidata.org/entity/Q6932746,Muhammad Suhail Zubairy
http://www.wikidata.org/entity/Q45250562,S. M. Junaid Zaidi
http://www.wikidata.org/entity/Q92944,David Wheeler
http://www.wikidata.org/entity/Q224372,I. J. Good
http://www.wikidata.org/entity/Q446862,David J. C. MacKay
http://www.wikidata.org/entity/Q706365,Samuel C. Bradford
http://www.wikidata.org/entity/Q836437,Brian Campbell Vickery
http://www.wikidata.org/entity/Q5078327,Charles Goss
http://www.wikidata.org/entity/Q6132896,James Duff Brown
http://www.wikidata.org/entity/Q6390128,Kenneth Garside
http://www.wikidata.org/entity/Q7518373,Simon Buckingham
http://www.wikidata.org/entity/Q15994443,Douglas John Foskett
http://www.wikidata.org/entity/Q93121,Tadao Kasami
http://www.wikidata.org/entity/Q5752362,Hideki Imai
http://www.wikidata.org/entity/Q7690981,Te Sun Han
http://www.wikidata.org/entity/Q2067227,Per Martin-Löf
http://www.wikidata.org/entity/Q60734257,Claudio Tommaso Gnoli
http://www.wikidata.org/entity/Q715848,Claude Berrou
http://www.wikidata.org/entity/Q1384896,Marcel-Paul Schützenberger
http://www.wikidata.org/entity/Q1460529,Alain Glavieux
http://www.wikidata.org/entity/Q90302,Gottfried Ungerboeck
http://www.wikidata.org/entity/Q93037,Jay David Bolter
http://www.wikidata.org/entity/Q97288,Mercedes Bunz
http://www.wikidata.org/entity/Q108405,Jeanette Zwingenberger
http://www.wikidata.org/entity/Q108613,Siegfried Zielinski
http://www.wikidata.org/entity/Q126003,Wolfgang Ernst
http://www.wikidata.org/entity/Q158056,Nam June Paik
http://www.wikidata.org/entity/Q167821,Gore Vidal
http://www.wikidata.org/entity/Q182847,Jean Baudrillard
http://www.wikidata.org/entity/Q184226,Gilles Deleuze
http://www.wikidata.org/entity/Q219368,Judith Butler
http://www.wikidata.org/entity/Q259317,Amy Goodman
http://www.wikidata.org/entity/Q259507,bell hooks
http://www.wikidata.org/entity/Q262284,Barbara Kruger
http://www.wikidata.org/entity/Q298075,Guy Debord
http://www.wikidata.org/entity/Q313113,Joseph Kosuth
http://www.wikidata.org/entity/Q315897,Genco Gulan
http://www.wikidata.org/entity/Q322922,Jacques Ellul
http://www.wikidata.org/entity/Q326226,Wolf Vostell
http://www.wikidata.org/entity/Q327840,Rammellzee
http://www.wikidata.org/entity/Q338363,Thom Hartmann
http://www.wikidata.org/entity/Q349069,Adam Curtis
http://www.wikidata.org/entity/Q378116,Régis Debray
http://www.wikidata.org/entity/Q385415,Jean-Jacques Lebel
http://www.wikidata.org/entity/Q394628,Raymond Williams
http://www.wikidata.org/entity/Q434839,Edward Bernays
http://www.wikidata.org/entity/Q436131,Neil Postman
http://www.wikidata.org/entity/Q447776,Ignacio Ramonet
http://www.wikidata.org/entity/Q495875,Byung-Chul Han
http://www.wikidata.org/entity/Q516614,Bracha L. Ettinger
http://www.wikidata.org/entity/Q543559,Kalle Lasn
http://www.wikidata.org/entity/Q636191,Jack Goody
http://www.wikidata.org/entity/Q705089,John Fiske
http://www.wikidata.org/entity/Q716367,Lev Manovich
http://www.wikidata.org/entity/Q717884,Douglas Rushkoff
http://www.wikidata.org/entity/Q742827,Colin McGinn
http://www.wikidata.org/entity/Q747459,Gene Youngblood
http://www.wikidata.org/entity/Q912704,Brian Massumi
http://www.wikidata.org/entity/Q919837,Noël Carroll
http://www.wikidata.org/entity/Q950610,Edmond Couchot
http://www.wikidata.org/entity/Q950635,Pierre Lévy
http://www.wikidata.org/entity/Q960136,Bernard Miège
http://www.wikidata.org/entity/Q971582,Henry Flynt
http://www.wikidata.org/entity/Q1082786,Christiane Paul
http://www.wikidata.org/entity/Q1098762,Claus Pias
http://www.wikidata.org/entity/Q1154635,Dallas Walker Smythe
http://www.wikidata.org/entity/Q1170205,Erin Manning
http://www.wikidata.org/entity/Q1209700,Dick Higgins
http://www.wikidata.org/entity/Q1241820,Robert Puzser
http://www.wikidata.org/entity/Q1351078,Gilles Lipovetsky
http://www.wikidata.org/entity/Q1460571,Pierre Restany
http://www.wikidata.org/entity/Q1565655,Joe Trippi
http://www.wikidata.org/entity/Q2022296,Patti Valkenburg
http://www.wikidata.org/entity/Q2442820,Tony Schwartz
http://www.wikidata.org/entity/Q2519220,Armand Mattelart
http://www.wikidata.org/entity/Q2594792,Wulf Herzogenrath
http://www.wikidata.org/entity/Q2919816,Elihu Katz
http://www.wikidata.org/entity/Q2939352,Carlos Ginzburg
http://www.wikidata.org/entity/Q2942032,Catherine Perret
http://www.wikidata.org/entity/Q3026588,Dick Hebdige
http://www.wikidata.org/entity/Q3086831,Fred Forest
http://www.wikidata.org/entity/Q3181861,John Kenneth Muir
http://www.wikidata.org/entity/Q3185405,Joseph Nechvatal
http://www.wikidata.org/entity/Q3701303,Dario Edoardo Viganò
http://www.wikidata.org/entity/Q3827795,Laura Kipnis
http://www.wikidata.org/entity/Q3848476,Mario Costa
http://www.wikidata.org/entity/Q4163801,Alexander Dobrokhotov
http://www.wikidata.org/entity/Q4493910,Aleksandr Viktorovich Fyodorov
http://www.wikidata.org/entity/Q4799399,Arthur Kroker
http://www.wikidata.org/entity/Q4967898,Brigitte L. Nacos
http://www.wikidata.org/entity/Q4974363,Jasia Reichardt
http://www.wikidata.org/entity/Q5073619,Char Davies
http://www.wikidata.org/entity/Q5084903,Charlie Gere
http://www.wikidata.org/entity/Q5213241,Dan Caspi
http://www.wikidata.org/entity/Q5230433,David A. Bailey
http://www.wikidata.org/entity/Q5234053,David Gauntlett
http://www.wikidata.org/entity/Q5234466,David Gunkel
http://www.wikidata.org/entity/Q5290620,Dominic Pettman
http://www.wikidata.org/entity/Q5341479,Edward A. Shanken
http://www.wikidata.org/entity/Q5365048,Ellen Wartella
http://www.wikidata.org/entity/Q5387077,Eric McLuhan
http://www.wikidata.org/entity/Q6111479,Jack Burnham
http://www.wikidata.org/entity/Q6120845,Jacques Rousseau
http://www.wikidata.org/entity/Q6202245,Jing Wang
http://www.wikidata.org/entity/Q6231667,John Ellis
http://www.wikidata.org/entity/Q6308905,Juliet Schor
http://www.wikidata.org/entity/Q6315657,Jussi Parikka
http://www.wikidata.org/entity/Q6317471,Justin Clemens
http://www.wikidata.org/entity/Q6483553,Lance Strate
http://www.wikidata.org/entity/Q6520879,Lelia Green
