item,itemLabel,q_id,date of birth,description,sex_gender,country_citizenship
http://www.wikidata.org/entity/Q4532287,Mikhail Epstein,Q4532287,1950-04-21T00:00:00Z,Russian-American writer,male,Soviet Union|Russia
http://www.wikidata.org/entity/Q55760938,Rebecca Roache,Q55760938,,British philosopher,female,United Kingdom
http://www.wikidata.org/entity/Q71488,Friedemann Schulz von Thun,Q71488,1944-08-06T00:00:00Z,German psychologist,male,Germany
http://www.wikidata.org/entity/Q76357,Jürgen Habermas,Q76357,1929-06-18T00:00:00Z,German sociologist and philosopher,male,Germany
http://www.wikidata.org/entity/Q90586,Karl Küpfmüller,Q90586,1897-10-06T00:00:00Z,German communication theorist,male,Germany
http://www.wikidata.org/entity/Q90748,Ralf van Bühren,Q90748,1962-02-03T00:00:00Z,German art historian and Church historian,male,Germany
http://www.wikidata.org/entity/Q92312,Harald Wohlrapp,Q92312,1944-06-06T00:00:00Z,philosopher,male,Germany
http://www.wikidata.org/entity/Q92760,Claude Shannon,Q92760,1916-04-30T00:00:00Z,American mathematician and information theorist,male,United States of America
http://www.wikidata.org/entity/Q92826,Terry Winograd,Q92826,1946-02-24T00:00:00Z,American professor,male,United States of America
http://www.wikidata.org/entity/Q93781,Paul Watzlawick,Q93781,1921-07-25T00:00:00Z,Austrian-American psychologist and philosopher,male,Austria|United States of America
http://www.wikidata.org/entity/Q156201,Roman Jakobson,Q156201,1896-10-10T00:00Z|1896-09-11T00:00Z,"American linguist, philosopher and educationist",male,Russian Empire|Russian Socialist Federative Soviet Republic|Soviet Union|United States of America
http://www.wikidata.org/entity/Q180819,Lev Vygotsky,Q180819,1896-11-17T00:00:00Z,Soviet psychologist,male,Russian Empire|Soviet Union
http://www.wikidata.org/entity/Q193871,Marshall McLuhan,Q193871,1911-07-21T00:00:00Z,"Canadian educator, philosopher, scholar, professor of English literature, literary critic, and communications theorist",male,Canada
http://www.wikidata.org/entity/Q295012,John Searle,Q295012,1932-07-31T00:00:00Z,American philosopher,male,United States of America
http://www.wikidata.org/entity/Q311776,Paul Grice,Q311776,1913-03-13T00:00:00Z,philosopher,male,United Kingdom|United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q314252,Gregory Bateson,Q314252,1904-05-09T00:00:00Z,"English anthropologist, social scientist, linguist, visual anthropologist, semiotician and cyberneticist",male,United Kingdom|United States of America
http://www.wikidata.org/entity/Q314462,Harold Lasswell,Q314462,1902-02-13T00:00:00Z,American political scientist,male,United States of America
http://www.wikidata.org/entity/Q321585,Donald deAvila Jackson,Q321585,1920-01-28T00:00:00Z,American psychiatrist,male,United States of America
http://www.wikidata.org/entity/Q323107,Patrick Suppes,Q323107,1922-03-17T00:00:00Z,philosopher from United States of America,male,United States of America
http://www.wikidata.org/entity/Q426218,Anthony Wilden,Q426218,1935-12-14T00:00:00Z,British academic,male,United Kingdom|United States of America
http://www.wikidata.org/entity/Q433619,Joan Chittister,Q433619,1936-04-26T00:00:00Z,"Roman Catholic nun, activist, writer and academic",female,United States of America
http://www.wikidata.org/entity/Q504346,Fernando Flores,Q504346,1943-01-09T00:00:00Z,Chilean politician,male,Chile
http://www.wikidata.org/entity/Q505528,Harold Innis,Q505528,1894-11-05T00:00:00Z,Canadian professor of political economy,male,Canada
http://www.wikidata.org/entity/Q510591,Warren Weaver,Q510591,1894-07-17T00:00:00Z,American mathematician,male,United States of America
http://www.wikidata.org/entity/Q511624,Rob Grootendorst,Q511624,1944-02-11T00:00:00Z,Dutch linguist,male,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q634125,George Gerbner,Q634125,1919-08-08T00:00:00Z,"American writer, freelancer and sociologist",male,United States of America
