category,item.x,itemLabel,item.y,q_id,date of birth,description,sex_gender,country_citizenship
Category:Philosophy of language,http://www.wikidata.org/entity/Q4532287,Mikhail Epstein,http://www.wikidata.org/entity/Q4532287,Q4532287,1950-04-21T00:00:00Z,Russian-American writer,male,Soviet Union|Russia
Category:Philosophy of language,http://www.wikidata.org/entity/Q55760938,Rebecca Roache,http://www.wikidata.org/entity/Q55760938,Q55760938,NA,British philosopher,female,Britons
Category:Communication theorists,http://www.wikidata.org/entity/Q71488,Friedemann Schulz von Thun,http://www.wikidata.org/entity/Q71488,Q71488,1944-08-06T00:00:00Z,German psychologist,male,Germany
Category:Communication theorists,http://www.wikidata.org/entity/Q76357,Jürgen Habermas,http://www.wikidata.org/entity/Q76357,Q76357,1929-06-18T00:00:00Z,German sociologist and philosopher,male,Germany
Category:Mass media theorists,http://www.wikidata.org/entity/Q76357,Jürgen Habermas,http://www.wikidata.org/entity/Q76357,Q76357,1929-06-18T00:00:00Z,German sociologist and philosopher,male,Germany
Category:Critical theorists,http://www.wikidata.org/entity/Q76357,Jürgen Habermas,http://www.wikidata.org/entity/Q76357,Q76357,1929-06-18T00:00:00Z,German sociologist and philosopher,male,Germany
Category:Communication theorists,http://www.wikidata.org/entity/Q90586,Karl Küpfmüller,http://www.wikidata.org/entity/Q90586,Q90586,1897-10-06T00:00:00Z,German communication theorist,male,Germany
Category:Information theory,http://www.wikidata.org/entity/Q90586,Karl Küpfmüller,http://www.wikidata.org/entity/Q90586,Q90586,1897-10-06T00:00:00Z,German communication theorist,male,Germany
Category:Communication theorists,http://www.wikidata.org/entity/Q90748,Ralf van Bühren,http://www.wikidata.org/entity/Q90748,Q90748,1962-02-03T00:00:00Z,German art historian and Church historian,male,Germany
Category:Communication theorists,http://www.wikidata.org/entity/Q92312,Harald Wohlrapp,http://www.wikidata.org/entity/Q92312,Q92312,1944-06-06T00:00:00Z,philosopher,male,Germany
Category:Communication theorists,http://www.wikidata.org/entity/Q92760,Claude Shannon,http://www.wikidata.org/entity/Q92760,Q92760,1916-04-30T00:00:00Z,American mathematician and information theorist,male,United States of America
Category:American information theorists,http://www.wikidata.org/entity/Q92760,Claude Shannon,http://www.wikidata.org/entity/Q92760,Q92760,1916-04-30T00:00:00Z,American mathematician and information theorist,male,United States of America
