"","keyword","tf","df"
"1","Lev Manovich",34,30
"2","Christopher Marlowe",44,25
"3","Jay David Bolter",30,24
"4","Marshall McLuhan",32,24
"5","Allen Forte",29,23
"6","Seneca",43,22
"7","Michael Joyce",40,20
"8","Michel Foucault",22,20
"9","Ezra Pound",27,19
"10","George Landow",28,19
"11","Bruno Latour",21,17
"12","Francis Bacon",41,15
"13","Walter Benjamin",18,15
"14","Alan Turing",17,14
"15","Jacques Derrida",17,14
"16","Noam Chomsky",15,14
"17","Roman Jakobson",15,14
"18","Boethius",27,12
"19","Northrop Frye",13,12
"20","Terry Winograd",13,12
"21","Noah Wardrip-Fruin",11,11
"22","Samuel Taylor Coleridge",15,11
"23","Claude Shannon",15,10
"24","Gilles Deleuze",11,10
"25","Julia Kristeva",11,10
"26","Vitruvius",19,9
"27","Sherry Turkle",12,8
"28","Confucius",8,7
"29","George Gerbner",16,7
"30","George Orwell",8,7
"31","Harold Innis",7,7
"32","Jacques Lacan",10,7
"33","John von Neumann",9,7
"34","Mikhail Bakhtin",8,7
"35","Norbert Wiener",9,7
"36","Raymond Williams",12,7
"37","Jacques Rancière",6,6
"38","Jussi Parikka",6,6
"39","Paulo Freire",6,6
"40","Quintilian",23,6
"41","Warren Weaver",8,6
"42","Wolfgang Ernst",8,6
"43","Fredric Jameson",5,5
"44","Jean Baudrillard",5,5
"45","John Ruskin",6,5
"46","Jürgen Habermas",5,5
"47","Lewis Mumford",5,5
"48","Terry Eagleton",5,5
"49","Alan Moore",12,4
"50","Anthony Trollope",7,4
"51","bell hooks",6,4
"52","Christiane Paul",4,4
"53","David Bordwell",4,4
"54","Jacques Ellul",4,4
"55","Mary Wollstonecraft",5,4
"56","Moya Bailey",5,4
"57","Patrick Suppes",4,4
"58","Ray Bradbury",4,4
"59","René Descartes",4,4
"60","Richard Dawkins",7,4
"61","Richard Rorty",5,4
"62","Stefan Kostka",4,4
"63","Cassiodorus",4,3
"64","Charles Sanders Peirce",3,3
"65","David Harvey",3,3
"66","Douglas Rushkoff",3,3
"67","Eugene Thacker",3,3
"68","Friedrich Nietzsche",3,3
"69","Karl Marx",3,3
"70","Milton Babbitt",3,3
"71","Neil Postman",4,3
"72","Paul de Man",3,3
"73","Pierre Bourdieu",4,3
"74","Pythagoras",5,3
"75","Sergei Eisenstein",3,3
"76","Siegfried Zielinski",3,3
"77","Simone de Beauvoir",3,3
"78","Tron",4,3
"79","Albertus Magnus",2,2
"80","Antonio Gramsci",2,2
"81","Audre Lorde",3,2
"82","Bertolt Brecht",3,2
"83","Carl Czerny",3,2
"84","David Hawkes",6,2
"85","Dick Higgins",2,2
"86","Elizabeth Grosz",2,2
"87","Ernst Bloch",2,2
"88","Fernand Braudel",2,2
"89","Fernando Flores",2,2
"90","Giorgio Agamben",3,2
"91","Gottfried Keller",2,2
"92","Jean-Jacques Rousseau",3,2
"93","Jean-Luc Nancy",2,2
"94","John Cage",2,2
"95","John Searle",2,2
"96","Klaus Krippendorff",2,2
"97","Leon Battista Alberti",3,2
"98","Marc Bloch",2,2
"99","Mark Poster",2,2
"100","Martianus Capella",2,2
"101","Michael Bull",3,2
"102","Michael Hardt",2,2
"103","Michael Warner",2,2
"104","Nam June Paik",2,2
"105","Nancy Fraser",2,2
"106","Niklas Luhmann",2,2
"107","Oliver Grau",2,2
"108","Pablo Neruda",3,2
"109","Pierre Boulez",2,2
"110","Pierre Lévy",2,2
"111","Pierre Schaeffer",3,2
"112","Robert Morris",2,2
"113","Slavoj Žižek",2,2
"114","Vladimir Levenshtein",2,2
"115","Alexandra Juhasz",1,1
"116","Amitav Ghosh",2,1
"117","André Bazin",1,1
"118","Andrea Palladio",1,1
"119","Andrew Sarris",2,1
"120","Anthony Wilden",1,1
"121","Antonio Negri",1,1
"122","Arnold Schoenberg",1,1
"123","August Strindberg",1,1
"124","Auguste Comte",1,1
"125","Aviezri Fraenkel",1,1
"126","Azfar Hussain",1,1
"127","Bernard Stiegler",1,1
"128","Bill Nichols",1,1
"129","Brian O'Connor",1,1
"130","Cass Sunstein",1,1
"131","Chantal Mouffe",1,1
"132","Char Davies",1,1
"133","Claus Pias",1,1
"134","David Kolb",1,1
"135","David Lewin",1,1
"136","David Thomson",1,1
"137","Dominic Pettman",1,1
"138","Don Kulick",1,1
"139","Edward Bernays",1,1
"140","Eric McLuhan",1,1
"141","Félix Guattari",1,1
"142","Frantz Fanon",1,1
"143","Gayatri Chakravorty Spivak",1,1
"144","George Herbert Mead",1,1
"145","George Russell",1,1
"146","George Woodcock",1,1
"147","Gioseffo Zarlino",1,1
"148","Graham Phillips",1,1
"149","Gregory Bateson",2,1
"150","Greta Gaard",1,1
"151","Guido of Arezzo",1,1
"152","Hélène Cixous",1,1
"153","Henri Poincaré",1,1
"154","Herbert Marcuse",1,1
"155","Herbert Spencer",2,1
"156","Ihab Hassan",1,1
"157","Immanuel Wallerstein",1,1
"158","Ingram Frizer",1,1
"159","Jack Goody",1,1
"160","James Tenney",1,1
"161","James Thomson",1,1
"162","Jean le Rond d'Alembert",1,1
"163","Johann David Heinichen",3,1
"164","John Ellis",1,1
"165","John Law",2,1
"166","John Neal",1,1
"167","John Rahn",1,1
"168","Jonathan Dollimore",1,1
"169","Judith Butler",1,1
"170","Juri Lotman",1,1
"171","Kara Keeling",1,1
"172","Karl Liebknecht",1,1
"173","Kevin Warwick",1,1
"174","Kristin Thompson",1,1
"175","Lance Strate",1,1
"176","Leo Braudy",1,1
"177","Mao Dun",1,1
"178","Mark Wilson Jones",1,1
"179","Martin Scorsese",1,1
"180","Max Horkheimer",1,1
"181","Meyer Schapiro",1,1
"182","Naomi Schor",1,1
"183","Nicholas Garnham",1,1
"184","Nicole Ellison",1,1
"185","Notker Labeo",1,1
"186","Otto Neurath",1,1
"187","Paul Kennedy",1,1
"188","Peter Dixon",2,1
"189","Peter Lyman",1,1
"190","Pitirim Sorokin",1,1
"191","Quatremère de Quincy",1,1
"192","Raphael Samuel",1,1
"193","Rem Koolhaas",1,1
"194","Rey Chow",1,1
"195","Richard Kennedy",1,1
"196","Roxane Gay",1,1
"197","Rudolf Arnheim",1,1
"198","Rudolph Reti",2,1
"199","Sam Harris",1,1
"200","Sarah Cook",1,1
"201","Seyla Benhabib",1,1
"202","Sheila Cavanagh",1,1
"203","Siegfried Kracauer",1,1
"204","Simon Buckingham",3,1
"205","Steven Shaviro",1,1
"206","Steven Spielberg",1,1
"207","Teresa de Lauretis",1,1
"208","Thomas Elsaesser",1,1
"209","Tomoko Ohta",1,1
"210","Tzvetan Todorov",1,1
"211","Viktor Shklovsky",1,1
"212","Vsevolod Pudovkin",1,1
"213","Walter Murch",1,1
"214","Wassily Leontief",1,1
"215","Wendy Brown",2,1
"216","Wilbur Schramm",1,1
