"","keyword","tf","df"
"1","James",661,350
"2","Thomas",689,328
"3","Smith",699,297
"4","Paul",472,272
"5","Brown",621,264
"6","Washington",377,213
"7","West",292,177
"8","Martin",241,168
"9","Louis",229,166
"10","Still",235,165
"11","Street",237,147
"12","Johnson",257,142
"13","Andrew",192,139
"14","King",327,139
"15","Jones",262,137
"16","Allen",264,125
"17","Lee",186,113
"18","Man",223,110
"19","Miller",193,110
"20","Anderson",231,109
"21","Williams",190,106
"22","Nancy",162,102
"23","Alexander",173,95
"24","Bell",188,95
"25","Cornell",146,92
"26","Taylor",177,92
"27","White",163,92
"28","Good",125,91
"29","Joyce",274,91
"30","List",154,91
"31","Law",188,90
"32","Samuel",143,88
"33","Scott",125,87
"34","Lewis",138,85
"35","Robinson",183,83
"36","Dean",105,79
"37","Green",158,79
"38","Harris",188,79
"39","Church",150,77
"40","Douglas",98,77
"41","Frank",109,77
"42","Austin",126,73
"43","Davis",163,72
"44","Howard",100,72
"45","Bailey",125,71
"46","Cohen",150,70
"47","Benjamin",141,68
"48","Price",140,68
"49","Black",157,65
"50","Main",79,65
"51","Wallace",135,64
"52","Wilson",105,64
"53","Day",157,59
"54","Field",112,58
"55","Clark",111,56
"56","Grant",66,55
"57","Shaw",112,55
"58","Mitchell",77,53
"59","Moore",78,53
"60","Burton",91,52
"61","Evans",77,52
"62","Jackson",76,52
"63","Packard",98,52
"64","Thompson",115,52
"65","Folio",100,51
"66","Muller",97,51
"67","Patrick",63,48
"68","Russell",70,48
"69","Albert",63,47
"70","Collins",85,46
"71","Leonard",55,46
"72","Gilbert",68,45
"73","Carroll",110,44
"74","Power",75,44
"75","Ray",61,44
"76","Woods",195,44
"77","Bolter",272,43
"78","Morris",110,43
"79","Chomsky",94,42
"80","Winograd",81,42
"81","Best",61,41
"82","Butler",60,40
"83","Eliot",64,40
"84","Roberts",64,40
"85","Klein",65,39
"86","Sun",71,39
"87","Heinrich",61,38
"88","Manovich",127,38
"89","Wright",58,38
"90","Campbell",72,37
"91","Craig",53,36
"92","Fisher",50,36
"93","Franklin",56,36
"94","McCarthy",59,36
"95","Turner",81,36
"96","Wall",79,36
"97","Dixon",44,35
"98","Newman",48,35
"99","Davies",71,34
"100","Derrida",88,34
"101","Kennedy",59,34
"102","Kelly",58,33
"103","Wells",69,33
"104","Fraser",55,32
"105","Friedman",43,32
"106","Gibson",124,32
"107","Greenberg",59,32
"108","Guy",37,32
"109","Parker",58,32
"110","Rogers",62,32
"111","Schmidt",41,32
"112","Landow",160,31
"113","McKenzie",60,31
"114","Phillips",52,31
"115","Clarke",46,30
"116","Hart",63,30
"117","Heller",40,30
"118","Juan",54,30
"119","Ward",54,30
"120","Bach",92,29
"121","Burke",58,29
"122","Ellis",57,29
"123","Levin",42,29
"124","Ott",63,29
"125","Post",49,29
"126","Randall",41,29
"127","Warwick",55,29
"128","Bernstein",101,28
"129","Burns",39,28
"130","Descartes",73,28
"131","Ernst",58,28
"132","Katz",39,28
"133","Foster",169,27
"134","Foucault",62,27
"135","Harrison",37,27
"136","Harvey",41,27
"137","Kim",47,27
"138","Land",41,27
"139","Wolff",49,27
"140","Bacon",34,26
"141","Gale",38,26
"142","Knight",35,26
"143","Abraham",114,25
"144","Hansen",96,25
"145","Wood",57,25
"146","Everett",34,24
"147","Lev Manovich",27,24
"148","Rubin",31,24
"149","Schwartz",36,24
"150","Seymour",32,24
"151","Allen Forte",29,23
"152","McLuhan",74,23
"153","Turing",44,23
"154","Cook",37,22
"155","Leon",82,22
"156","O'Brien",40,22
"157","Prince",38,22
"158","Robertson",37,22
"159","Shannon",42,22
"160","Spencer",32,22
"161","Thomson",27,22
"162","Zimmerman",28,22
"163","Berry",67,21
"164","Dyer",35,21
"165","Latour",82,21
"166","Marlowe",162,21
"167","Weber",28,21
"168","Duncan",31,20
"169","Hartmann",35,20
"170","Jordan",39,20
"171","Richards",74,20
"172","Silver",25,20
"173","Strong",42,20
"174","Faulkner",50,19
"175","Goodman",30,19
"176","Gray",76,19
"177","Marx",42,19
"178","Morrison",37,19
"179","Myers",25,19
"180","Wang",48,19
"181","Bull",37,18
"182","Colby",27,18
"183","Coleridge",57,18
"184","Hahn",19,18
"185","Johansson",57,18
"186","Marshall McLuhan",26,18
"187","Reed",48,18
"188","Stevenson",25,18
"189","Angus",28,17
"190","Cloud",20,17
"191","Forte",36,17
"192","Horn",38,17
"193","Keller",22,17
"194","Lynch",36,17
"195","Peterson",28,17
"196","Solomon",62,17
"197","Whitman",102,17
"198","Wiener",40,17
"199","Conway",38,16
"200","Harper",19,16
"201","Hoffman",22,16
"202","Jameson",26,16
"203","Jay David Bolter",20,16
"204","Michael Joyce",29,16
"205","Mozart",28,16
"206","Shapiro",28,16
"207","Singer",24,16
"208","Wardrip-Fruin",47,16
"209","Wolfe",20,16
"210","Wolfram",18,16
"211","Boyd",21,15
"212","Glass",33,15
"213","Jacobs",18,15
"214","Metz",26,15
"215","Nielsen",27,15
"216","Ong",46,15
"217","Poor",18,15
"218","Posner",39,15
"219","Sessions",17,15
"220","Warner",26,15
"221","Wolf",21,15
"222","Berger",18,14
"223","Bruno Latour",17,14
"224","Deleuze",31,14
"225","Doyle",34,14
"226","Durand",26,14
"227","Ellison",40,14
"228","Feldman",22,14
"229","Gay",18,14
"230","Manning",19,14
"231","Owen",22,14
"232","Owens",41,14
"233","Rosenberg",21,14
"234","Carpenter",14,13
"235","Chestnut",16,13
"236","Garcia",17,13
"237","Higgins",22,13
"238","Levine",19,13
"239","Oliver",24,13
"240","Pound",19,13
"241","Root",27,13
"242","Swanson",28,13
"243","Turkle",41,13
"244","Weaver",19,13
"245","Bakhtin",30,12
"246","Barnett",19,12
"247","Brennan",15,12
"248","Christopher Marlowe",16,12
"249","Cologne",19,12
"250","Emmanuel",12,12
"251","Engels",21,12
"252","Ezra Pound",17,12
"253","Firenze",88,12
"254","Frye",23,12
"255","Garside",16,12
"256","Haas",20,12
"257","Johnston",21,12
"258","Koch",13,12
"259","Lane",28,12
"260","Marks",18,12
"261","Neumann",27,12
"262","Pereira",15,12
"263","Wheeler",13,12
"264","Curtis",12,11
"265","George Landow",20,11
"266","Grosz",22,11
"267","Guest",28,11
