,ns,title,pageid,size,wordcount,snippet,timestamp,query_string
0,14.0,Category:Axioms of set theory,3439807.0,371.0,50.0,"This category is for axioms in the <span class=""searchmatch"">language</span> <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span>; roughly speaking, ones that &quot;talk about sets&quot;. Inclusion in this category does not necessarily",2013-03-28T06:50:55Z,theory of language
1,14.0,Category:Programming language researchers,13947677.0,405.0,21.0,"research in the fields <span class=""searchmatch"">of</span> programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>, compiler construction and program analysis. See also, Category:Programming <span class=""searchmatch"">language</span> designers",2021-06-18T00:18:21Z,theory of language
2,14.0,Category:Theories of language,22337303.0,120.0,0.0,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",2017-11-16T16:13:15Z,theory of language
3,14.0,Category:Philosophy of language,744038.0,730.0,73.0,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language
4,14.0,Category:Academic programming languages,31005405.0,437.0,41.0,"Programming <span class=""searchmatch"">languages</span> influential in computer science and programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>. Some are only widely used by computer scientists and may even lack",2018-04-20T17:25:14Z,theory of language
5,14.0,Category:Programming languages conferences,27677783.0,216.0,14.0,"Academic conferences in the fields <span class=""searchmatch"">of</span> programming <span class=""searchmatch"">languages</span>, programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>, and compiler design.",2015-03-31T16:15:43Z,theory of language
6,14.0,Category:The Big Bang Theory,33137387.0,1142.0,19.0,"This is a category for articles about and closely related to the CBS television series The Big Bang <span class=""searchmatch"">Theory</span>.",2021-01-24T09:09:29Z,theory of language
7,14.0,Category:Programming languages,690571.0,454.0,48.0,"individual programming <span class=""searchmatch"">languages</span>. Articles about general programming <span class=""searchmatch"">language</span> topics should be moved to Category:Programming <span class=""searchmatch"">language</span> topics. Top 0–9 A B",2021-10-10T00:05:17Z,theory of language
8,14.0,Category:Knot stubs,1105497.0,305.0,34.0,"for knots in the ordinary-<span class=""searchmatch"">language</span> sense <span class=""searchmatch"">of</span> the word, not for stubs relating to the mathematical discipline <span class=""searchmatch"">of</span> knot <span class=""searchmatch"">theory</span>. For the latter, please use",2013-03-28T23:53:53Z,theory of language
9,14.0,Category:Logic stubs,12198154.0,490.0,214.0,"Philosophy <span class=""searchmatch"">of</span> Science Task Force Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">Language</span> Task Force Theoretical Linguistics Task Force WikiProject Pseudoscience WikiProject Game <span class=""searchmatch"">theory</span> WikiProject",2021-01-01T11:04:00Z,theory of language
0,14.0,Category:Logic literature,22410600.0,232.0,4.0,"Philosophy portal <span class=""searchmatch"">Literature</span> portal",2019-09-09T05:59:48Z,theory of literature
1,14.0,Category:WikiProject Game theory participants,19079865.0,12081.0,1415.0,"Resources from Wikiversity This category comprises the user pages <span class=""searchmatch"">of</span> WikiProject Game <span class=""searchmatch"">theory</span> participants. The following userbox templates will add your user",2021-08-01T19:06:59Z,theory of literature
