query_string,category,levsim,pageid,timestamp,snippet,wordcount
theory of computation,Theory of computation,0.952380952380952,3233312,2020-01-28T20:25:57Z,"science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span> is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span>, using an algorithm",46
theories of language,Theories of language,0.95,22337303,2017-11-16T16:13:15Z,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",0
theory of relativity,Theory of relativity,0.95,35196789,2020-12-14T19:53:52Z,"The <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">relativity</span> encompasses Einstein's <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> special and general <span class=""searchmatch"">relativity</span>.",12
theory of mind,Theory of mind,0.928571428571429,22332699,2020-04-23T15:51:39Z,"Wikimedia Commons has media related to <span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">mind</span>.",29
theory of computational,Theory of computation,0.869565217391304,3233312,2020-01-28T20:25:57Z,"computation, using an algorithm. The field is divided into three major branches: automata <span class=""searchmatch"">theory</span>, computability <span class=""searchmatch"">theory</span> and <span class=""searchmatch"">computational</span> complexity <span class=""searchmatch"">theory</span>.",46
theory of language,Theories of language,0.8,22337303,2017-11-16T16:13:15Z,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",0
theory of history,Theories of history,0.789473684210526,4220365,2020-04-30T20:24:56Z,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">history</span> are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D E F G H I J K",50
theory of mind,Theories of mind,0.75,52090732,2016-10-25T08:50:52Z,"This category is located at Category:<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">mind</span>. Note: This category should be empty. See the instructions for more information. Administrators: If",0
theory of computation,Models of computation,0.714285714285714,31036668,2020-07-27T20:12:23Z,"The category <span class=""searchmatch"">of</span> <span class=""searchmatch"">Computational</span> Models lists abstract models for investigating computing machines. Standard <span class=""searchmatch"">computational</span> models assume discrete time paradigm",48
theory of computer,Theory of computation,0.714285714285714,3233312,2020-01-28T20:25:57Z,"theoretical <span class=""searchmatch"">computer</span> science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> computation",46
"theory of language ,",Theories of language,0.7,22337303,2017-11-16T16:13:15Z,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",0
theory of language,Philosophy of language,0.681818181818182,744038,2020-04-25T17:59:38Z,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",73
theory of information,Entropy and information,0.652173913043478,9910848,2019-12-02T04:34:39Z,"relating to entropy and <span class=""searchmatch"">information</span> in <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>. The lead article for this category is Entropy (<span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>). To be distinguished from:",69
theory of computational,Models of computation,0.652173913043478,31036668,2020-07-27T20:12:23Z,"The category <span class=""searchmatch"">of</span> <span class=""searchmatch"">Computational</span> Models lists abstract models for investigating computing machines. Standard <span class=""searchmatch"">computational</span> models assume discrete time paradigm",48
theories of meaning,Theories of language,0.65,22337303,2017-11-16T16:13:15Z,"Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">meaning</span> Contrastivism Conventionalism Cratylism Deconstruction",0
theories of literature,Ethics literature,0.636363636363636,6283119,2019-08-03T18:29:53Z,"<span class=""searchmatch"">Literature</span> portal",2
theories of language,Philosophy of language,0.636363636363636,744038,2020-04-25T17:59:38Z,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",73
theory of computation,Theorems in theory of computation,0.636363636363636,46305686,2015-04-03T13:52:03Z,NA,0
theories of communication,Interpersonal communication,0.62962962962963,34562178,2016-09-12T20:16:31Z,NA,0
