category,item,itemLabel
Category:Programming language researchers,http://www.wikidata.org/entity/Q92602,Tony Hoare
Category:Programming language researchers,http://www.wikidata.org/entity/Q92604,Niklaus Wirth
Category:Programming language researchers,http://www.wikidata.org/entity/Q92643,Robin Milner
Category:Programming language researchers,http://www.wikidata.org/entity/Q92649,Amir Pnueli
Category:Programming language researchers,http://www.wikidata.org/entity/Q92737,Ike Nassi
Category:Programming language researchers,http://www.wikidata.org/entity/Q92746,John Backus
Category:Programming language researchers,http://www.wikidata.org/entity/Q92744,Kristen Nygaard
Category:Programming language researchers,http://www.wikidata.org/entity/Q92853,Jean Ichbiah
Category:Programming language researchers,http://www.wikidata.org/entity/Q92903,David Sayre
Category:Programming language researchers,http://www.wikidata.org/entity/Q92914,Klaus Samelson
Category:Programming language researchers,http://www.wikidata.org/entity/Q92933,Per Brinch Hansen
Category:Programming language researchers,http://www.wikidata.org/entity/Q92946,Bertrand Meyer
Category:Programming language researchers,http://www.wikidata.org/entity/Q92949,Simon Peyton Jones
Category:Programming language researchers,http://www.wikidata.org/entity/Q92952,Peter Landin
Category:Programming language researchers,http://www.wikidata.org/entity/Q92991,Guy L. Steele
Category:Programming language researchers,http://www.wikidata.org/entity/Q93082,Charles Leonard Hamblin
Category:Programming language researchers,http://www.wikidata.org/entity/Q93122,Christopher Strachey
Category:Programming language researchers,http://www.wikidata.org/entity/Q310798,Stephen Wolfram
Category:Programming language researchers,http://www.wikidata.org/entity/Q847990,Martin Odersky
Category:Programming language researchers,http://www.wikidata.org/entity/Q967536,Gordon Plotkin
Category:Programming language researchers,http://www.wikidata.org/entity/Q1508274,George Springer
Category:Programming language researchers,http://www.wikidata.org/entity/Q1961494,Andrey Ershov
Category:Programming language researchers,http://www.wikidata.org/entity/Q2385483,Patrick Cousot
Category:Programming language researchers,http://www.wikidata.org/entity/Q3350958,Olivier Danvy
Category:Programming language researchers,http://www.wikidata.org/entity/Q3379094,Philip Wadler
Category:Programming language researchers,http://www.wikidata.org/entity/Q3570727,Xavier Leroy
Category:Programming language researchers,http://www.wikidata.org/entity/Q3655362,Don Syme
Category:Programming language researchers,http://www.wikidata.org/entity/Q3719620,John C. Reynolds
Category:Programming language researchers,http://www.wikidata.org/entity/Q4149745,David Gries
Category:Programming language researchers,http://www.wikidata.org/entity/Q4468156,David Turner
Category:Programming language researchers,http://www.wikidata.org/entity/Q4756213,Andrew Appel
Category:Programming language researchers,http://www.wikidata.org/entity/Q4756743,Andrew D. Gordon
Category:Programming language researchers,http://www.wikidata.org/entity/Q4815297,Frederica Darema
Category:Programming language researchers,http://www.wikidata.org/entity/Q4888368,Benjamin C. Pierce
Category:Programming language researchers,http://www.wikidata.org/entity/Q4893187,Bernard Greenberg
