.,query_string,normalized_string,freq
1,theory of language,theory of language ,36
2,theory of literature,theory of literature ,20
3,theory of narrative,theory of narrative ,19
4,theory of meaning,theory of meaning,18
5,theory of ',theory of .,12
6,"theory of \""",theory of .,12
7,theory of text,theory of text ,12
8,theories of text,theories of text ,11
9,theory of literary,theory of ' literary,11
10,theory of grammar,theory of grammar ,10
11,theory of textual,theory of textual,10
12,theory of communication,theory of communication ,9
13,theory of discourse,theory of discourse ,9
14,theory of human,theory of human,9
15,theory of metaphor,theory of metaphor,9
16,theory of texts,theory of texts ,9
17,theories of knowledge,theories of knowledge,8
18,theories of literature,theories of literature ,8
19,theory of evolution,theory of evolution ,8
20,theory of music,theory of music,8
21,theory of style,theory of style ,8
22,theory of word,theory of word,8
23,theories of discourse,theories of discourse,7
24,theories of human,theories of human,7
25,theories of language,theories of language ,7
26,theories of meaning,theories of meaning ,7
27,theories of social,theories of social,7
28,theory of authorship,theory of authorship,7
29,theory of generalized,theory of generalized,7
30,theory of signs,theory of signs ,7
31,theories of metaphor,theories of metaphor,6
32,theories of narrative,theories of narrative,6
33,theories of writing,theories of writing ,6
34,theory of fuzzy,theory of ' fuzzy,6
35,theory of games,theory of games ,6
36,theory of linguistic,theory of linguistic,6
37,theory of ordering,theory of ordering,6
38,theory of semantic,theory of semantic,6
39,theory of tonal,theory of tonal,6
40,theories of communication,theories of communication ,5
41,theories of digital,theories of digital,5
42,theories of literary,theories of literary,5
43,theories of media,theories of media ,5
44,theories of scholarly,theories of scholarly,5
45,theories of textuality,theories of textuality,5
46,theory of aesthetic,theory of aesthetic,5
47,theory of computation,theory of computation ,5
48,theory of digital,theory of digital,5
49,theory of generative,theory of generative,5
50,theory of graphs,theory of graphs ,5
51,theory of information,theory of information,5
52,theory of knowledge,theory of knowledge ,5
53,theory of lexical,theory of lexical,5
54,theory of mind,theory of mind ,5
55,theory of natural,theory of natural,5
56,theory of oral,theory of oral,5
57,theory of perception,theory of perception ,5
58,theory of performance,theory of performance ,5
59,theory of probability,theory of probability ,5
60,theories of computer,theories of computer,4
61,theories of editing,theories of editing ,4
62,theories of music,theories of music,4
63,theories of sound,theories of sound,4
64,theory of competence,theory of competence ,4
65,theory of computational,theory of computational,4
66,theory of electronic,theory of electronic,4
67,theory of formal,theory of formal,4
68,theory of forms,theory of ' forms,4
69,theory of historical,theory of historical,4
70,theory of history,theory of history ,4
71,theory of learning,theory of learning ,4
72,theory of lexicography,theory of lexicography ,4
73,theory of making,theory of making,4
74,theory of mediation,theory of mediation,4
75,theory of models,theory of models,4
76,theory of multimedia,theory of multimedia,4
77,theory of novel,theory of novel,4
78,theory of optics,theory of optics,4
79,theory of poetic,theory of poetic,4
80,theory of social,theory of social,4
81,theory of statistics,theory of statistics ,4
