.,query_string,normalized_string,freq,total_freq
1,theory of language,theory of language,36,64
2,theory of literature,theory of literature,20,39
3,theory of narrative,theory of narrative,19,25
4,theory of meaning,theory of meaning,18,34
5,theory of ',theory of .,12,34
6,"theory of \""",theory of .,12,34
7,theory of text,theory of text,12,18
8,theories of text,theories of text,11,16
9,theory of literary,theory of ' literary,11,14
10,theory of grammar,theory of grammar,10,18
11,theory of textual,theory of textual,10,10
12,theory of communication,theory of communication,9,20
13,theory of discourse,theory of discourse,9,17
14,theory of human,theory of human,9,9
15,theory of metaphor,theory of metaphor,9,15
16,theory of texts,theory of texts,9,14
17,theories of knowledge,theories of knowledge,8,8
18,theories of literature,theories of literature,8,14
19,theory of evolution,theory of evolution,8,18
20,theory of music,theory of music,8,10
21,theory of style,theory of style,8,15
22,theory of word,theory of word,8,8
23,theories of discourse,theories of discourse,7,8
24,theories of human,theories of human,7,7
25,theories of language,theories of language,7,13
26,theories of meaning,theories of meaning,7,12
27,theories of social,theories of social,7,7
28,theory of authorship,theory of authorship,7,11
29,theory of generalized,theory of generalized,7,7
30,theory of signs,theory of signs,7,14
31,theories of metaphor,theories of metaphor,6,8
32,theories of narrative,theories of narrative,6,9
33,theories of writing,theories of writing,6,15
34,theory of fuzzy,theory of ' fuzzy,6,7
35,theory of games,theory of games,6,15
36,theory of linguistic,theory of linguistic,6,6
37,theory of ordering,theory of ordering,6,7
38,theory of semantic,theory of semantic,6,6
39,theory of tonal,theory of tonal,6,6
40,theories of communication,theories of communication,5,9
41,theories of digital,theories of digital,5,5
42,theories of literary,theories of literary,5,5
43,theories of media,theories of media,5,8
44,theories of scholarly,theories of scholarly,5,5
45,theories of textuality,theories of textuality,5,10
46,theory of aesthetic,theory of aesthetic,5,6
47,theory of computation,theory of computation,5,12
48,theory of digital,theory of digital,5,5
49,theory of generative,theory of generative,5,5
50,theory of graphs,theory of graphs,5,9
51,theory of information,theory of information,5,8
52,theory of knowledge,theory of knowledge,5,10
53,theory of lexical,theory of lexical,5,5
54,theory of mind,theory of mind,5,12
55,theory of natural,theory of natural,5,5
56,theory of oral,theory of oral,5,5
57,theory of perception,theory of perception,5,10
58,theory of performance,theory of performance,5,10
59,theory of probability,theory of probability,5,8
60,theories of computer,theories of computer,4,4
61,theories of editing,theories of editing,4,7
62,theories of music,theories of music,4,6
63,theories of sound,theories of sound,4,4
64,theory of competence,theory of competence,4,10
65,theory of computational,theory of computational,4,4
66,theory of electronic,theory of electronic,4,4
67,theory of formal,theory of formal,4,4
68,theory of forms,theory of ' forms,4,7
69,theory of historical,theory of historical,4,4
70,theory of history,theory of history,4,8
71,theory of learning,theory of learning,4,11
72,theory of lexicography,theory of lexicography,4,10
73,theory of making,theory of making,4,8
74,theory of mediation,theory of mediation,4,5
75,theory of models,theory of models,4,5
76,theory of multimedia,theory of multimedia,4,4
77,theory of novel,theory of novel,4,9
78,theory of optics,theory of optics,4,5
79,theory of poetic,theory of poetic,4,4
80,theory of social,theory of social,4,4
81,theory of statistics,theory of statistics,4,8
82,theory of suspensions,theory of suspensions,4,6
83,theory of transformational,theory of transformational,4,4
84,theory of verse,theory of verse,4,14
85,theory of writing,theory of writing,4,9
86,theories of electoral,theories of electoral,3,3
87,theories of enunciation,theories of enunciation,3,3
88,theories of gender,theories of gender,3,3
89,theories of information,theories of information,3,5
90,theories of intelligence,theories of intelligence,3,5
91,theories of late,theories of late,3,3
92,theories of modern,theories of modern,3,3
93,theories of multimodality,theories of multimodality,3,3
94,theories of structure,theories of structure,3,6
95,theories of textual,theories of textual,3,3
96,theorist of digital,theorist of digital,3,3
97,theorization of digital,theorization of digital,3,3
98,theory of .,theory of .,3,34
99,theory of composition,theory of composition,3,3
100,theory of computer,theory of computer,3,3
101,theory of conceptual,theory of conceptual,3,4
102,theory of diffusion,theory of diffusion,3,5
103,theory of directed,theory of directed,3,3
104,theory of everything,theory of everything,3,9
105,theory of interface,theory of interface,3,3
106,theory of interpretation,theory of interpretation,3,5
107,theory of justification,theory of justification,3,4
108,theory of oral-formulaic,theory of oral formulaic,3,5
109,theory of punctuation,theory of punctuation,3,5
110,theory of relativity,theory of relativity,3,7
111,theory of representation,theory of representation,3,5
112,theory of rhythm,theory of rhythm,3,3
113,theory of semantics,theory of semantics,3,4
114,theory of single,theory of single,3,3
115,theory of speech,theory of speech,3,3
116,theory of syntax,theory of syntax,3,6
117,theory of textuality,theory of textuality,3,4
118,theory of tonality,theory of tonality,3,7
119,theory of translation,theory of translation,3,5
120,theories of animal,theories of animal,2,2
121,theories of arts,theories of arts,2,2
122,theories of cognition,theories of cognition,2,4
123,theories of collaborative,theories of collaborative,2,2
124,theories of complex,theories of complex,2,2
125,theories of composition,theories of composition,2,4
126,theories of domain,theories of domain,2,2
127,theories of economic,theories of economic,2,2
128,theories of editorial,theories of editorial,2,2
129,theories of electronic,theories of electronic,2,2
130,theories of games,theories of games,2,6
131,theories of grammar,theories of grammar,2,2
132,theories of history,theories of history,2,2
133,theories of intertextuality,theories of intertextuality,2,5
134,theories of learning,theories of learning,2,4
135,theories of lexical,theories of lexical,2,2
136,theories of linked,theories of linked,2,2
137,theories of margins,theories of margins,2,5
138,theories of mental,theories of mental,2,2
139,theories of morphology,theories of morphology,2,4
140,theories of musical,theories of musical,2,2
141,theories of oral,theories of oral,2,2
142,theories of passions,theories of passions,2,4
143,theories of reader,theories of reader,2,2
144,theories of reading,theories of reading,2,5
145,theories of relativity,theories of relativity,2,4
146,theories of sign,theories of sign,2,4
147,theories of structural,theories of structural,2,2
148,theories of style,theories of style,2,2
149,theories of subject,theories of subject,2,2
150,theories of tonality,theories of tonality,2,2
151,theorists of digital,theorists of digital,2,2
152,theorists of new,theorists of new,2,2
153,theorists of technology,theorists of technology,2,4
154,theorists of theatrical,theorists of theatrical,2,2
155,theory of (,theory of .,2,34
156,theory of 1817,theory of 1817,2,2
157,theory of 1960s,theory of 1960s,2,2
158,theory of action,theory of action,2,5
159,theory of aesthetics,theory of aesthetics,2,6
