name,name_reco,wikidata_id,date of death,date of birth,VIAF ID,GND ID,country of citizenship,instance of,sex or gender,theory
Boris Eichenbaum,Boris Eikhenbaum,Q893723,1959-11-24T00:00:00Z,1886-10-04T00:00:00Z,51855659,11868177X,Russian Empire,human,male,NEW_CRITICISM
Eichenbaum,Boris Eikhenbaum,Q893723,1959-11-24T00:00:00Z,1886-10-04T00:00:00Z,51855659,11868177X,Russian Empire,human,male,NEW_CRITICISM
Viktor Shklovsky,Viktor Shklovsky,Q312467,1984-12-05T00:00:00Z,1893-01-12T00:00:00Z,108303033,118765701,Russian Empire,human,male,NEW_CRITICISM
Shklovsky,Viktor Shklovsky,Q312467,1984-12-05T00:00:00Z,1893-01-12T00:00:00Z,108303033,118765701,Russian Empire,human,male,NEW_CRITICISM
Cleanth Brooks,Cleanth Brooks,Q2915226,1994-05-10T00:00:00Z,1906-10-16T00:00:00Z,68946341,118660195,United States of America,human,male,NEW_CRITICISM
W. K. Wimsatt Jr.,"William Kurtz Wimsatt, Jr.",Q8014127,1975-12-17T00:00:00Z,1907-11-17T00:00:00Z,44416428,,United States of America,human,male,NEW_CRITICISM
Wimsatt,"William Kurtz Wimsatt, Jr.",Q8014127,1975-12-17T00:00:00Z,1907-11-17T00:00:00Z,44416428,,United States of America,human,male,NEW_CRITICISM
Ivor Armstrong Richards,I. A. Richards,Q718585,1979-09-07T00:00:00Z,1893-02-26T00:00:00Z,73896199,118788701,United Kingdom,human,male,NEW_CRITICISM
Thomas Stearns Eliot,T. S. Eliot,Q37767,1965-01-04T00:00:00Z,1888-09-26T00:00:00Z,56609282,118529854,United States of America,human,male,NEW_CRITICISM
Sir William Empson,William Empson,Q966870,1984-04-15T00:00:00Z,1906-09-27T00:00:00Z,34474006,11868454X,United Kingdom,human,male,NEW_CRITICISM
William Empson,William Empson,Q966870,1984-04-15T00:00:00Z,1906-09-27T00:00:00Z,34474006,11868454X,United Kingdom,human,male,NEW_CRITICISM
Empson,William Empson,Q966870,1984-04-15T00:00:00Z,1906-09-27T00:00:00Z,34474006,11868454X,United Kingdom,human,male,NEW_CRITICISM
Frank Raymond Leavis,F. R. Leavis,Q2428288,1978-04-14T00:00:00Z,1895-07-14T00:00:00Z,108224907,118779109,United Kingdom,human,male,NEW_CRITICISM
Leavis,F. R. Leavis,Q2428288,1978-04-14T00:00:00Z,1895-07-14T00:00:00Z,108224907,118779109,United Kingdom,human,male,NEW_CRITICISM
Jan Mukarovsky,Jan Mukařovský,Q1337801,1975-02-08T00:00:00Z,1891-11-11T00:00:00Z,7403779,118585630,Czechoslovakia,human,male,NEW_CRITICISM
Mukarovsky,Jan Mukařovský,Q1337801,1975-02-08T00:00:00Z,1891-11-11T00:00:00Z,7403779,118585630,Czechoslovakia,human,male,NEW_CRITICISM
