category_title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev,wikidata_url,wikidata_id,en_description,country_citizenship,sex_gender,occupation,wikidata_entity
Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language,Philosophy of language,0.56,7,http://www.wikidata.org/entity/Q4532287,Q4532287,,"Soviet Union,Russia",male,"philosopher,literary critic,literary historian",Mikhail Epstein
Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language,Philosophy of language,0.56,7,http://www.wikidata.org/entity/Q55760938,Q55760938,,Britons,female,philosopher,Rebecca Roache
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q71488,Q71488,,Germany,male,"psychologist,university teacher",Friedemann Schulz von Thun
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q76357,Q76357,,Germany,male,"sociologist,philosopher,university teacher",Jürgen Habermas
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q90586,Q90586,,Germany,male,"engineer,university teacher",Karl Küpfmüller
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q90748,Q90748,,Germany,male,"art historian,church historian,historian,literary editor,university teacher",Ralf van Bühren
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q92312,Q92312,,Germany,male,"philosopher,university teacher",Harald Wohlrapp
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q92760,Q92760,American mathematician and information theorist,United States of America,male,"mathematician,cryptographer,computer scientist,inventor,sport cyclist,university teacher,engineer,geneticist",Claude Shannon
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q92826,Q92826,American professor,United States of America,male,"computer scientist,artificial intelligence researcher,academic,university teacher",Terry Winograd
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q93781,Q93781,,"Austria,United States of America",male,"philosopher,psychologist,psychotherapist,sociologist,university teacher,non-fiction writer,communication scholar",Paul Watzlawick
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q156201,Q156201,,"Russian Empire,Russian Socialist Federative Soviet Republic,Soviet Union,United States of America",male,"linguist,literary scholar,pedagogue,historian,writer,critic,teacher",Roman Jakobson
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q180819,Q180819,,"Russian Empire,Soviet Union",male,"philosopher,psychologist,pedagogue,non-fiction writer,university teacher,anthropologist",Lev Vygotsky
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q193871,Q193871,,Canada,male,"philosopher,writer,university teacher,sociologist,literary critic,rhetorician",Marshall McLuhan
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q295012,Q295012,American philosopher,United States of America,male,"philosopher,university teacher,artificial intelligence researcher,linguist",John Searle
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q311776,Q311776,,"United Kingdom,United Kingdom of Great Britain and Ireland",male,"philosopher,university teacher,linguist",Paul Grice
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q314252,Q314252,,"United Kingdom,United States of America",male,"anthropologist,philosopher,sociologist,linguist,biologist,film director,psychologist,semiotician",Gregory Bateson
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q314462,Q314462,American political scientist,United States of America,male,"political scientist,academic,sociologist,psychologist",Harold Lasswell
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q321585,Q321585,American psychiatrist,United States of America,male,"psychiatrist,psychotherapist",Donald deAvila Jackson
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q323107,Q323107,philosopher from United States of America,United States of America,male,"mathematician,philosopher,university teacher,computer scientist",Patrick Suppes
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q426218,Q426218,,"United Kingdom,United States of America",male,"epistemologist,university teacher",Anthony Wilden
