category,item,itemLabel
Category:Philosophy of language,http://www.wikidata.org/entity/Q4532287,Mikhail Epstein
Category:Philosophy of language,http://www.wikidata.org/entity/Q55760938,Rebecca Roache
Category:Communication theorists,http://www.wikidata.org/entity/Q71488,Friedemann Schulz von Thun
Category:Communication theorists,http://www.wikidata.org/entity/Q76357,Jürgen Habermas
Category:Communication theorists,http://www.wikidata.org/entity/Q90586,Karl Küpfmüller
Category:Communication theorists,http://www.wikidata.org/entity/Q90748,Ralf van Bühren
Category:Communication theorists,http://www.wikidata.org/entity/Q92312,Harald Wohlrapp
Category:Communication theorists,http://www.wikidata.org/entity/Q92760,Claude Shannon
Category:Communication theorists,http://www.wikidata.org/entity/Q92826,Terry Winograd
Category:Communication theorists,http://www.wikidata.org/entity/Q93781,Paul Watzlawick
Category:Communication theorists,http://www.wikidata.org/entity/Q156201,Roman Jakobson
Category:Communication theorists,http://www.wikidata.org/entity/Q180819,Lev Vygotsky
Category:Communication theorists,http://www.wikidata.org/entity/Q193871,Marshall McLuhan
Category:Communication theorists,http://www.wikidata.org/entity/Q295012,John Searle
Category:Communication theorists,http://www.wikidata.org/entity/Q311776,Paul Grice
Category:Communication theorists,http://www.wikidata.org/entity/Q314252,Gregory Bateson
Category:Communication theorists,http://www.wikidata.org/entity/Q314462,Harold Lasswell
Category:Communication theorists,http://www.wikidata.org/entity/Q321585,Donald deAvila Jackson
Category:Communication theorists,http://www.wikidata.org/entity/Q323107,Patrick Suppes
Category:Communication theorists,http://www.wikidata.org/entity/Q426218,Anthony Wilden
Category:Communication theorists,http://www.wikidata.org/entity/Q433619,Joan Chittister
Category:Communication theorists,http://www.wikidata.org/entity/Q504346,Fernando Flores
Category:Communication theorists,http://www.wikidata.org/entity/Q505528,Harold Innis
Category:Communication theorists,http://www.wikidata.org/entity/Q510591,Warren Weaver
Category:Communication theorists,http://www.wikidata.org/entity/Q511624,Rob Grootendorst
Category:Communication theorists,http://www.wikidata.org/entity/Q634125,George Gerbner
Category:Communication theorists,http://www.wikidata.org/entity/Q722347,Walter J. Ong
Category:Communication theorists,http://www.wikidata.org/entity/Q1161998,Daniel J. O'Keefe
Category:Communication theorists,http://www.wikidata.org/entity/Q1445486,Frans H. van Eemeren
Category:Communication theorists,http://www.wikidata.org/entity/Q1512329,Molefi Kete Asante
Category:Communication theorists,http://www.wikidata.org/entity/Q1662255,Inez De Florio-Hansen
Category:Communication theorists,http://www.wikidata.org/entity/Q2227424,Alfons Vansteenwegen
Category:Communication theorists,http://www.wikidata.org/entity/Q2530910,Denis McQuail
Category:Communication theorists,http://www.wikidata.org/entity/Q3061477,Everett Rogers
Category:Communication theorists,http://www.wikidata.org/entity/Q3430760,Richard Fisch
Category:Communication theorists,http://www.wikidata.org/entity/Q3893206,Herbert Schiller
Category:Communication theorists,http://www.wikidata.org/entity/Q3896211,Osmo Antero Wiio
Category:Communication theorists,http://www.wikidata.org/entity/Q4056821,Dmitry Ageyev
Category:Communication theorists,http://www.wikidata.org/entity/Q4751469,Anantha Babbili
Category:Communication theorists,http://www.wikidata.org/entity/Q5006855,C. Scott Jacobs
Category:Communication theorists,http://www.wikidata.org/entity/Q5075559,Charles Berger
Category:Communication theorists,http://www.wikidata.org/entity/Q5144983,Colin Cherry
Category:Communication theorists,http://www.wikidata.org/entity/Q5203712,D. Lawrence Kincaid
Category:Communication theorists,http://www.wikidata.org/entity/Q5203816,D. Shelton A. Gunaratne
Category:Communication theorists,http://www.wikidata.org/entity/Q5392806,Ernest Bormann
Category:Communication theorists,http://www.wikidata.org/entity/Q5493221,François Cooren
Category:Communication theorists,http://www.wikidata.org/entity/Q5512116,G. A. Swanson
Category:Communication theorists,http://www.wikidata.org/entity/Q5512502,G. Thomas Goodnight
Category:Communication theorists,http://www.wikidata.org/entity/Q5538864,George Edward Cheney
Category:Communication theorists,http://www.wikidata.org/entity/Q5644620,Hamid Mowlana
Category:Communication theorists,http://www.wikidata.org/entity/Q6094597,Ithiel de Sola Pool
Category:Communication theorists,http://www.wikidata.org/entity/Q6141741,James R. Taylor
Category:Communication theorists,http://www.wikidata.org/entity/Q6144743,James W. Carey
Category:Communication theorists,http://www.wikidata.org/entity/Q6144923,"James W. Tankard, Jr."
Category:Communication theorists,http://www.wikidata.org/entity/Q6397268,Kevin Porée
Category:Communication theorists,http://www.wikidata.org/entity/Q6419923,Klaus Krippendorff
Category:Communication theorists,http://www.wikidata.org/entity/Q6768451,Mark L. Knapp
